OBJECTID,ON10mDEM,UAVDSM,x,y
1,348.990417480468750,349.079467773437500,1288710.231200002133846,11885433.758200000971556
2,348.261077880859375,347.155517578125000,1288636.147699996829033,11885439.049899999052286
3,345.459167480468750,346.112548828125000,1288705.733300000429153,11885323.426699999719858
4,344.814910888671875,344.659240722656250,1288564.710100002586842,11885302.789200000464916
5,344.422546386718750,345.501342773437500,1288640.116499997675419,11885296.439199998974800
6,344.965087890625000,346.647735595703125,1288764.206299997866154,11885246.102099999785423
7,344.126708984375000,344.435089111328125,1288497.803400002419949,11885286.781899999827147
8,344.393035888671875,346.023132324218750,1288446.540299996733665,11885231.219300001859665
9,346.400756835937500,346.231964111328125,1288410.623000003397465,11885203.305700000375509
10,344.010620117187500,344.463989257812500,1288478.885700002312660,11885199.072299998253584
11,343.797332763671875,344.875762939453125,1288503.756499998271465,11885150.918099999427795
12,346.290435791015625,346.871643066406250,1288388.927199997007847,11885174.201400000602007
13,346.072662353515625,346.260925292968750,1288392.102200001478195,11885139.276399999856949
14,345.197753906250000,345.653747558593750,1288418.031400002539158,11885105.938799999654293
15,344.295043945312500,345.087554931640625,1288454.014799997210503,11885082.655400000512600
16,343.693695068359375,344.513153076171875,1288472.535700000822544,11885050.905400000512600
17,344.170898437500000,344.140197753906250,1288480.473200000822544,11885015.980300001800060
18,343.814788818359375,344.184722900390625,1288487.881499998271465,11884990.051100000739098
19,344.557434082031250,344.663146972656250,1288513.810699999332428,11884966.767700001597404
20,344.805053710937500,344.965515136718750,1288543.973300002515316,11884946.659299999475479
21,344.484039306640625,345.234344482421875,1288588.423399999737740,11884940.838500000536442
22,344.202484130859375,344.694183349609375,1288624.406800001859665,11884943.484299998730421
23,343.902069091796875,344.499389648437500,1288639.752700001001358,11884937.663499999791384
24,344.559783935546875,345.057006835937500,1288639.223499998450279,11884908.030099999159575
25,344.195251464843750,345.417633056640625,1288667.269400000572205,11884875.750799998641014
26,343.606872558593750,345.656890869140625,1288687.377700001001358,11884830.242400001734495
27,342.536956787109375,345.166290283203125,1288704.840300001204014,11884813.309000000357628
28,342.179748535156250,343.565521240234375,1288717.540299996733665,11884828.125700000673532
29,343.087921142578125,344.233367919921875,1288698.490299999713898,11884879.984200000762939
30,343.318756103515625,344.328552246093750,1288674.148599997162819,11884912.792599998414516
31,343.621032714843750,344.254272460937500,1288656.685999996960163,11884929.725900001823902
32,346.092712402343750,346.114837646484375,1288540.269100002944469,11884914.380100000649691
33,344.668395996093750,344.720733642578125,1288450.839800000190735,11884972.059399999678135
34,345.309417724609375,345.320007324218750,1288396.335500001907349,11884955.125999998301268
35,346.515838623046875,346.228271484375000,1288350.297899998724461,11884942.955099999904633
36,347.002593994140625,345.279327392578125,1288321.722900003194809,11884924.963399998843670
37,347.362243652343750,346.282531738281250,1288306.641599997878075,11884901.150899998843670
38,348.187194824218750,346.285919189453125,1288279.124799996614456,11884864.638300001621246
